fips,state,county,pct_laccess_pop10,pct_laccess_pop15,pct_laccess_lowi10,pct_laccess_lowi15,pct_laccess_hhnv10,pct_laccess_hhnv15,pct_laccess_snap15,pct_laccess_child10,pct_laccess_child15,pct_laccess_seniors10,pct_laccess_seniors15,pct_diabetes18,class
17131,IL,Mercer,23.01909253,18.0579302,8.96294585,7.061342255,3.543135775,3.356344323,1.561827515,4.851419163,3.667665483,5.100463912,4.310975425,6.8,0.0
17133,IL,Monroe,19.95227884,29.23656601,3.197604116,5.166007933,1.627349436,2.33284392,0.7345844356,4.960348557,7.091685259,2.469096751,3.860897589,7.2,0.0
17135,IL,Montgomery,15.15504704,23.67059786,5.796812166,7.57299444,2.689352609,3.454603682,3.970556953,3.308242506,5.232802943,3.368031921,5.069244036,6.7,0.0
17137,IL,Morgan,25.12037501,32.30474333,8.819557753,13.18929705,2.08236587,2.878304122,4.848441934,6.085722928,7.988201987,4.817338694,5.741716883,7.9,0.0
17139,IL,Moultrie,2.957547164,3.021704979,0.7696007581,0.7895288936,5.800687561,6.990244968,0.3653878,0.6106648055,0.6110361915,0.6183074411,0.6451485316,7.3,0.0
17141,IL,Ogle,12.43846082,17.58797134,3.07632213,5.473754549,1.554028383,2.486371142,1.698307403,3.781574769,4.977564756,1.098495244,2.070365295,7.1,0.0
17143,IL,Peoria,29.63347577,25.50342065,6.976865671,6.841803599,2.163656878,2.116297936,2.190869222,7.04347482,6.07276892,4.494723349,3.854933379,8.9,1.0
17145,IL,Perry,20.62124153,21.45420316,9.365839745,9.700585971,2.753134735,2.710703406,5.72959617,5.205902694,5.383657218,3.232236348,3.42489417,7.2,0.0
17147,IL,Piatt,3.056223709,3.031813251,0.442487967,0.6893532478,1.356296896,1.619663144,0.2185980938,0.7188701416,0.7122775092,0.4615221871,0.4599561608,7.2,0.0
17149,IL,Pike,24.05710955,18.44201183,9.992523737,8.827719025,2.435303133,2.335145702,2.345860148,5.840147055,4.450851644,4.475458369,3.407122443,7.4,0.0
17151,IL,Pope,29.70158164,24.20346569,8.060394081,7.639531248,5.480695154,3.419823943,2.045817267,4.998521221,3.9884418,6.968345916,5.808408494,7.2,0.0
17153,IL,Pulaski,57.63287183,20.84293692,23.76707049,9.593116512,11.86510387,8.499996794,4.763651916,12.09922922,4.838203833,11.58994033,4.344360439,8.1,0.0
17155,IL,Putnam,4.94e-05,10.92009169,9.81e-06,2.192126622,1.644717238,1.678120265,1.009802859,0.0,1.583095763,4.94e-05,3.056792701,6.9,0.0
